symbol,type,entry_price,exit_price,stop_loss,capital_used,reason,entry_date,entry_hour
BTC,SHORT,113487.68,113184.33499999998,113689.91,0.02472432378974307,Reversal + Vol>MA + LL/LH,2025-10-14,03:00
SHIB,SHORT,1.088e-05,1.0789999999999997e-05,1.094e-05,83333333.33333178,Reversal + Vol>MA + LL/LH,2025-10-14,03:00
ETH,SHORT,4100.25,4009.7700000000004,4160.57,0.08289124668435054,Reversal + Vol>MA + LL/LH,2025-10-14,04:00
BTC,SHORT,113059.11,112262.35500000001,113590.28,0.009413182220381454,Reversal + Vol>MA + LL/LH,2025-10-14,04:00
BNB,SHORT,1236.98,1217.57,1249.92,0.3863987635239551,Reversal + Vol>MA + LL/LH,2025-10-14,05:00
SHIB,SHORT,1.061e-05,1.0310000000000001e-05,1.081e-05,25000000.000000026,Reversal + Vol>MA + LL/LH,2025-10-14,05:00
PEPE,SHORT,7.48e-06,7.240000000000002e-06,7.64e-06,31250000.000000134,Reversal + Vol>MA + LL/LH,2025-10-14,05:00
ETH,SHORT,4070.08,3985.4949999999994,4126.47,0.0886682035821949,Reversal + Vol>MA + LL/LH,2025-10-14,05:00
BTC,SHORT,111982.74,110910.06000000001,112697.86,0.0069918335384271625,Reversal + Vol>MA + LL/LH,2025-10-14,06:00
BNB,SHORT,1202.97,1142.025,1243.6,0.1230617770120604,Reversal + Vol>MA + LL/LH,2025-10-14,06:00
ETH,SHORT,4003.42,3871.5550000000003,4091.33,0.05687635081333191,Reversal + Vol>MA + LL/LH,2025-10-14,06:00
SHIB,SHORT,1.043e-05,1.0055000000000001e-05,1.068e-05,20000000.000000056,Reversal + Vol>MA + LL/LH,2025-10-14,06:00
PEPE,SHORT,7.31e-06,6.980000000000001e-06,7.53e-06,22727272.72727277,Reversal + Vol>MA + LL/LH,2025-10-14,06:00
ETH,SHORT,3942.1,3875.9349999999995,3986.21,0.1133529811834048,Reversal + Vol>MA + LL/LH,2025-10-14,10:00
BTC,SHORT,110628.2,109564.715,111337.19,0.007052285645777745,Reversal + Vol>MA + LL/LH,2025-10-14,10:00
PEPE,SHORT,7.22e-06,7.085000000000001e-06,7.31e-06,55555555.55555557,Reversal + Vol>MA + LL/LH,2025-10-14,10:00
BNB,SHORT,1183.27,1158.9099999999999,1199.51,0.3078817733990146,Reversal + Vol>MA + LL/LH,2025-10-14,10:00
SHIB,SHORT,1.032e-05,1.0094999999999999e-05,1.047e-05,33333333.333333276,Reversal + Vol>MA + LL/LH,2025-10-14,10:00
ETH,SHORT,3941.17,3892.4950000000003,3973.62,0.1540832049306634,Reversal + Vol>MA + LL/LH,2025-10-14,12:00
PEPE,SHORT,7.16e-06,6.995e-06,7.27e-06,45454545.45454554,Reversal + Vol>MA + LL/LH,2025-10-14,12:00
