strategy,symbol,signals,total_profit,avg_profit,std_profit,success_rate_pct
InsufficientData,BNBUSDT,418,0.0,0.0,0.0,0.0
InsufficientData,BTCUSDT,418,0.0,0.0,0.0,0.0
InsufficientData,DOGEUSDT,418,0.0,0.0,0.0,0.0
InsufficientData,ETHUSDT,418,0.0,0.0,0.0,0.0
InsufficientData,XRPUSDT,418,0.0,0.0,0.0,0.0
MACD<Signal,ETHUSDT,2,20.000014,10.000007,9e-06,100.0
MACD<Signal,XRPUSDT,1,10.0,10.0,0.0,100.0
MACD<Signal,BTCUSDT,1,9.999395,9.999395,0.0,100.0
MACD>Signal,BTCUSDT,1,10.000205,10.000205,0.0,100.0
MACD>Signal,DOGEUSDT,1,10.0,10.0,0.0,100.0
MAfast<MAslow,ETHUSDT,476,4759.998147,9.999996,1.6e-05,100.0
MAfast<MAslow,BTCUSDT,385,3850.069124,10.00018,0.000495,100.0
MAfast<MAslow,DOGEUSDT,379,3790.0,10.0,0.0,100.0
MAfast<MAslow,XRPUSDT,339,3390.0,10.0,0.0,100.0
MAfast<MAslow,BNBUSDT,206,2060.000198,10.000001,5e-06,100.0
MAfast>MAslow,ETHUSDT,462,4619.998439,9.999997,1.5e-05,100.0
MAfast>MAslow,DOGEUSDT,371,3710.0,10.0,0.0,100.0
MAfast>MAslow,BTCUSDT,339,3390.010216,10.00003,0.000491,100.0
MAfast>MAslow,XRPUSDT,278,2780.0,10.0,0.0,100.0
MAfast>MAslow,BNBUSDT,220,2200.000107,10.0,5e-06,100.0
NoClearSignal,BNBUSDT,1956,0.0,0.0,0.0,0.0
NoClearSignal,BTCUSDT,1270,0.0,0.0,0.0,0.0
NoClearSignal,DOGEUSDT,1130,0.0,0.0,0.0,0.0
NoClearSignal,ETHUSDT,647,0.0,0.0,0.0,0.0
NoClearSignal,XRPUSDT,1288,0.0,0.0,0.0,0.0
RSI<30,ETHUSDT,1218,12180.001439,10.000001,1.2e-05,100.0
RSI<30,DOGEUSDT,1146,11460.0,10.0,0.0,100.0
RSI<30,XRPUSDT,1059,10590.0,10.0,0.0,100.0
RSI<30,BTCUSDT,1035,10349.955722,9.999957,0.000315,100.0
RSI<30,BNBUSDT,726,7260.000774,10.000001,3e-06,100.0
RSI>70,ETHUSDT,1030,10300.000214,10.0,1.2e-05,100.0
RSI>70,XRPUSDT,870,8700.0,10.0,0.0,100.0
RSI>70,DOGEUSDT,808,8080.0,10.0,0.0,100.0
RSI>70,BTCUSDT,805,8049.972554,9.999966,0.000315,100.0
RSI>70,BNBUSDT,727,7270.000404,10.000001,3e-06,100.0
SourceDown,BNBUSDT,857,0.0,0.0,0.0,0.0
SourceDown,BTCUSDT,859,0.0,0.0,0.0,0.0
SourceDown,DOGEUSDT,857,0.0,0.0,0.0,0.0
SourceDown,ETHUSDT,858,0.0,0.0,0.0,0.0
SourceDown,XRPUSDT,857,0.0,0.0,0.0,0.0
