symbol,price,signal,target,stop,strategy,confidence,risk_reward,position_size,expected_loss,time
BTCIRT,111474.160321,hold,111474.160321,111474.160321,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:20.844464
ETHIRT,4046.284935,hold,4046.284935,4046.284935,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:21.340921
BNBIRT,1174.966739,hold,1174.966739,1174.966739,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:21.785663
XRPIRT,2.465177,hold,2.465177,2.465177,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:22.370441
DOGEIRT,0.199198,hold,0.199198,0.199198,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:23.086097
BTCIRT,111741.928478,hold,111741.928478,111741.928478,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:24.539723
ETHIRT,4046.248414,hold,4046.248414,4046.248414,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:25.105542
BNBIRT,1174.956134,hold,1174.956134,1174.956134,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:25.562395
XRPIRT,2.465155,hold,2.465155,2.465155,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:26.086758
DOGEIRT,0.199197,hold,0.199197,0.199197,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:26.541990
BTCIRT,111741.928478,hold,111741.928478,111741.928478,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:28.038717
ETHIRT,4046.247836,hold,4046.247836,4046.247836,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:28.511217
BNBIRT,1174.956134,hold,1174.956134,1174.956134,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:28.950021
XRPIRT,2.465155,hold,2.465155,2.465155,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:29.313678
DOGEIRT,0.19927,hold,0.19927,0.19927,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:29.740483
BTCIRT,111740.919904,hold,111740.919904,111740.919904,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:31.216745
ETHIRT,4046.211315,hold,4046.211315,4046.211315,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:31.695839
BNBIRT,1174.945529,hold,1174.945529,1174.945529,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:32.154402
XRPIRT,2.465133,hold,2.465133,2.465133,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:32.601516
DOGEIRT,0.199268,hold,0.199268,0.199268,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:33.054195
BTCIRT,111486.321558,hold,111486.321558,111486.321558,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:34.767011
ETHIRT,4046.211315,hold,4046.211315,4046.211315,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:35.215595
BNBIRT,1174.945529,hold,1174.945529,1174.945529,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:35.667916
XRPIRT,2.465133,hold,2.465133,2.465133,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:36.140269
DOGEIRT,0.199268,hold,0.199268,0.199268,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:36.476449
